Country,fertility_rate,contraception,region
Afghanistan,6.9,NA,Asia
Albania,2.6,NA,Europe
Algeria,3.81,52,Africa
American-Samoa,NA,NA,Oceania
Andorra,NA,NA,Europe
Angola,6.69,NA,Africa
Antigua,NA,53,Americas
Argentina,2.62,NA,Americas
Armenia,1.7,22,Europe
Australia,1.89,76,Oceania
Austria,1.42,71,Europe
Azerbaijan,2.3,17,Asia
Bahamas,1.95,62,Americas
Bahrain,2.97,53,Asia
Bangladesh,3.14,49,Asia
Barbados,1.73,55,Americas
Belarus,1.4,50,Europe
Belgium,1.62,79,Europe
Belize,3.66,47,Americas
Benin,5.83,16,Africa
Bhutan,5.89,19,Asia
Bolivia,4.36,45,Americas
Bosnia,1.4,NA,Europe
Botswana,4.45,33,Africa
Brazil,2.17,74,Americas
Brunei,2.7,NA,Asia
Bulgaria,1.45,NA,Europe
Burkina-Faso,6.57,8,Africa
Burundi,6.28,9,Africa
Cambodia,4.5,NA,Asia
Cameroon,5.3,16,Africa
Canada,1.61,66,Americas
Cape-Verde,3.56,NA,Africa
Central-African-Rep,4.95,24,Africa
Chad,5.51,NA,Africa
Chile,2.44,30,Americas
China,1.8,83,Asia
Colombia,2.69,72,Americas
Comoros,5.51,21,Africa
Congo,5.87,NA,Africa
Cook-Islands,3.5,38,Oceania
Costa-Rica,2.95,75,Americas
Croatia,1.6,NA,Europe
Cuba,1.55,70,Americas
Cyprus,2.31,NA,Europe
Czech-Republic,1.4,69,Europe
Dem-Rep-of-the-Congo,6.24,8,Africa
Denmark,1.82,78,Europe
Djibouti,5.39,NA,Africa
Dominica,NA,50,Americas
Dominican-Republic,2.8,64,Americas
East-Timor,4.32,NA,Oceania
Ecuador,3.1,57,Americas
Egypt,3.4,47,Africa
El-Salvador,3.09,53,Americas
Equatorial-Guinea,5.51,NA,Africa
Eritrea,5.34,5,Africa
Estonia,1.3,70,Europe
Ethiopia,7,4,Africa
Fiji,2.76,40,Oceania
Finland,1.83,NA,Europe
France,1.63,77,Europe
French-Guiana,NA,NA,Americas
French-Polynesia,2.85,NA,Oceania
Gabon,5.4,NA,Africa
Gambia,5.2,12,Africa
Gaza-Strip,8,NA,Asia
Georgia,1.9,17,Europe
Germany,1.3,75,Europe
Ghana,5.28,20,Africa
Greece,1.38,NA,Europe
Grenada,NA,54,Americas
Guadeloupe,2.1,NA,Americas
Guam,3.04,NA,Oceania
Guatemala,4.9,31,Americas
Guinea,6.61,2,Africa
Guinea-Bissau,5.42,NA,Africa
Guyana,2.32,NA,Americas
Haiti,4.6,18,Americas
Honduras,4.3,47,Americas
Hong-Kong,1.32,86,Asia
Hungary,1.4,73,Europe
