FIPS,State,County,No.WentToCollege,Population,%WithCollegeDegree,95%CI-Low,95%CI-High
1001,Alabama,Autauga,7990,14690,54.4,49.6,59.2
1003,Alabama,Baldwin,27428,44138,62.1,58.9,65.4
1005,Alabama,Barbour,3164,7511,42.1,36.6,47.7
1007,Alabama,Bibb,2586,6098,42.4,33.8,51
1009,Alabama,Blount,6474,14942,43.3,39,47.6
1011,Alabama,Bullock,1166,2989,39,28.3,49.7
1013,Alabama,Butler,2312,4886,47.3,,
1015,Alabama,Calhoun,14598,29672,49.2,46,52.4
1017,Alabama,Chambers,3903,8396,46.5,41.1,51.8
1019,Alabama,Cherokee,2778,6051,45.9,39.3,52.6
1021,Alabama,Chilton,5069,11595,43.7,38.9,48.5
1023,Alabama,Choctaw,1288,3108,41.4,32.7,50.2
1025,Alabama,Clarke,3092,6048,51.1,42.8,59.4
1027,Alabama,Clay,1456,3515,41.4,33.3,49.5
1029,Alabama,Cleburne,1592,3702,43,35,51
1031,Alabama,Coffee,7714,13146,58.7,54.4,63
1033,Alabama,Colbert,7281,13234,55,50.2,59.8
1035,Alabama,Conecuh,803,2551,31.5,19.5,43.4
1037,Alabama,Coosa,883,2730,32.3,24.3,40.4
1039,Alabama,Covington,3933,8779,44.8,39.2,50.4
1041,Alabama,Crenshaw,1451,3398,42.7,35.4,50
1043,Alabama,Cullman,9890,20180,49,45.4,52.6
1045,Alabama,Dale,8313,13344,62.3,58,66.5
1047,Alabama,Dallas,4435,10038,44.2,38.9,49.5
1049,Alabama,DeKalb,7304,18528,39.4,35.8,43
1051,Alabama,Elmore,12098,21986,55,51.3,58.8
1053,Alabama,Escambia,4440,10155,43.7,38.5,49
1055,Alabama,Etowah,14681,26244,55.9,52.3,59.6
1057,Alabama,Fayette,1520,3840,39.6,31.6,47.6
1059,Alabama,Franklin,3482,8209,42.4,37.4,47.4
1061,Alabama,Geneva,3218,6251,51.5,44.3,58.6
1063,Alabama,Greene,664,1822,36.4,22.3,50.6
1065,Alabama,Hale,1449,3644,39.8,32.6,46.9
1067,Alabama,Henry,2007,3871,51.8,43.6,60.1
1069,Alabama,Houston,13656,26070,52.4,50.2,54.6
1071,Alabama,Jackson,6205,13094,47.4,42.6,52.2
1073,Alabama,Jefferson,115030,177763,64.7,63.1,66.3
1075,Alabama,Lamar,1387,3313,41.9,33.3,50.5
1077,Alabama,Lauderdale,12278,22122,55.5,51.7,59.3
1079,Alabama,Lawrence,4073,8737,46.6,41.3,52
1081,Alabama,Lee,23046,35661,64.6,61.6,67.7
1083,Alabama,Limestone,12134,22892,53,49,57
2013,Alaska,Aleutians East,557,1301,42.8,22.5,63.1
2016,Alaska,Aleutians West,1006,1881,53.5,45.1,61.9
2020,Alaska,Anchorage,58410,83100,70.3,,
2050,Alaska,Bethel,1804,4348,41.5,35.3,47.7
2060,Alaska,Bristol Bay,153,222,68.9,0,100
2068,Alaska,Denali,386,511,75.5,38.7,100
2070,Alaska,Dillingham,533,1079,49.4,41.7,57.1
2090,Alaska,Fairbanks North Star,19021,28215,67.4,63.5,71.3
2100,Alaska,Haines,438,678,64.6,32.5,96.7
2110,Alaska,Juneau,6373,8584,74.2,68.3,80.2
2122,Alaska,Kenai Peninsula,7781,12977,60,55.6,64.3
2130,Alaska,Ketchikan Gateway,2271,3568,63.6,53.9,73.4
2150,Alaska,Kodiak Island,2521,3710,68,59.4,76.5
2164,Alaska,Lake and Peninsula,199,336,59.2,9.5,100
2170,Alaska,Matanuska-Susitna,14294,23204,61.6,58.2,65
2180,Alaska,Nome,990,2418,40.9,33.7,48.2
2185,Alaska,North Slope,1004,2250,44.6,34.4,54.9
2188,Alaska,Northwest Arctic,681,1868,36.5,30.1,42.9
2201,Alaska,Prince of Wales-Outer Ketchikan,622,1299,47.9,39.7,56
2220,Alaska,Sitka,1706,2289,74.5,62.4,86.7
2232,Alaska,Skagway-Hoonah-Angoon,522,816,64,46.3,81.7
2240,Alaska,Southeast Fairbanks,1117,1735,64.4,53.8,74.9
2261,Alaska,Valdez-Cordova,1634,2284,71.5,60.6,82.4
2270,Alaska,Wade Hampton,493,1642,30,23.2,36.8
2280,Alaska,Wrangell-Petersburg,949,1465,64.8,49.4,80.2
2282,Alaska,Yakutat,152,219,69.4,0,100
2290,Alaska,Yukon-Koyukuk,567,1253,45.3,35.5,55
4001,Arizona,Apache,6796,15745,43.2,39.2,47.1
4003,Arizona,Cochise,19337,31073,62.2,59,65.5
4005,Arizona,Coconino,22323,33180,67.3,63.6,70.9
4007,Arizona,Gila,3979,9855,40.4,35,45.8
4009,Arizona,Graham,4936,9574,51.6,46.2,57
4011,Arizona,Greenlee,1298,2258,57.5,45.4,69.5
4012,Arizona,La Paz,1467,3566,41.1,32,50.3
4013,Arizona,Maricopa,669237,1077438,62.1,,
4015,Arizona,Mohave,19492,39486,49.4,46.2,52.5
4017,Arizona,Navajo,12247,23953,51.1,47.4,54.8
4019,Arizona,Pima,155006,243837,63.6,62.2,64.9
4021,Arizona,Pinal,55950,100455,55.7,53.5,57.9
4023,Arizona,Santa Cruz,4541,10467,43.4,37.1,49.6
4025,Arizona,Yavapai,23484,39625,59.3,55.8,62.7
4027,Arizona,Yuma,24692,47199,52.3,49.4,55.2
5001,Arkansas,Arkansas,2017,4553,44.3,37.4,51.2
5003,Arkansas,Ashley,2361,5442,43.4,36.6,50.2
5005,Arkansas,Baxter,4275,7696,55.5,49.3,61.8
5007,Arkansas,Benton,36410,62323,58.4,55.8,61
5009,Arkansas,Boone,4427,8855,50,44.5,55.5
5011,Arkansas,Bradley,925,2783,33.2,24.9,41.5
5013,Arkansas,Calhoun,479,1307,36.6,17.2,56.1
5015,Arkansas,Carroll,2646,6014,44,37.4,50.6
5017,Arkansas,Chicot,944,2638,35.8,25.2,46.4
5019,Arkansas,Clark,2659,4737,56.1,48.1,64.2
5021,Arkansas,Clay,1541,3664,42.1,34.9,49.2
5023,Arkansas,Cleburne,2719,5487,49.6,42.4,56.7
5025,Arkansas,Cleveland,1045,2037,51.3,40,62.6
5027,Arkansas,Columbia,3027,5347,56.6,48.7,64.6
5029,Arkansas,Conway,2221,4902,45.3,38.8,51.8
5031,Arkansas,Craighead,15191,26277,57.8,54,61.6
5033,Arkansas,Crawford,7714,15722,49.1,44.5,53.7
5035,Arkansas,Crittenden,6479,13093,49.5,44.8,54.2
5037,Arkansas,Cross,1650,4605,35.8,29.3,42.4
5039,Arkansas,Dallas,577,1773,32.5,17.3,47.8
5041,Arkansas,Desha,1403,3076,45.6,37.3,53.9
5043,Arkansas,Drew,2380,4405,54,45.5,62.5
5045,Arkansas,Faulkner,18837,30156,62.5,58.8,66.1
5047,Arkansas,Franklin,2177,4398,49.5,41,58
5049,Arkansas,Fulton,1125,2450,45.9,35.9,55.9
5051,Arkansas,Garland,11091,21385,51.9,47.8,55.9
5053,Arkansas,Grant,2244,4545,49.4,41.6,57.1
5055,Arkansas,Greene,5282,11025,47.9,42.9,53
5057,Arkansas,Hempstead,2441,5347,45.7,39,52.3
5059,Arkansas,Hot Spring,3977,8278,48,42.1,54
5061,Arkansas,Howard,1300,3265,39.8,31.8,47.8
5063,Arkansas,Independence,4370,9236,47.3,42.2,52.4
5065,Arkansas,Izard,1275,2980,42.8,34.7,50.9
5067,Arkansas,Jackson,1858,4907,37.9,32.1,43.6
5069,Arkansas,Jefferson,9512,19220,49.5,45.5,53.5
5071,Arkansas,Johnson,2394,6116,39.1,33.4,44.9
5073,Arkansas,Lafayette,620,1530,40.5,31,50.1
5075,Arkansas,Lawrence,1648,4023,41,34.7,47.2
5077,Arkansas,Lee,937,2771,33.8,22.5,45.1
5079,Arkansas,Lincoln,1393,4455,31.3,23.1,39.4
5081,Arkansas,Little River,1480,3058,48.4,38.9,57.9
5083,Arkansas,Logan,1950,5057,38.6,32.6,44.5
5085,Arkansas,Lonoke,11400,19356,58.9,54.7,63.1
5087,Arkansas,Madison,1285,3729,34.5,25,43.9
5089,Arkansas,Marion,1684,3165,53.2,44,62.4
5091,Arkansas,Miller,5376,11483,46.8,41.6,52
5093,Arkansas,Mississippi,5393,11769,45.8,40.8,50.9
5095,Arkansas,Monroe,869,1681,51.7,38,65.4
5097,Arkansas,Montgomery,812,1816,44.7,28.8,60.6
5099,Arkansas,Nevada,1037,2198,47.2,35.8,58.5
5101,Arkansas,Newton,822,1739,47.3,35.1,59.4
5103,Arkansas,Ouachita,2884,5816,49.6,43.3,55.9
5105,Arkansas,Perry,989,2559,38.6,28.5,48.8
5107,Arkansas,Phillips,2317,4732,49,41.4,56.5
5109,Arkansas,Pike,1176,2634,44.6,35.4,53.9
5111,Arkansas,Poinsett,2356,6093,38.7,33.2,44.1
5113,Arkansas,Polk,2238,4401,50.9,42.6,59.1
5115,Arkansas,Pope,8050,15019,53.6,49.2,58
5117,Arkansas,Prairie,891,1949,45.7,34.4,57.1
5119,Arkansas,Pulaski,70647,107932,65.5,63.4,67.5
5121,Arkansas,Randolph,2090,4144,50.4,41.8,59.1
5123,Arkansas,St. Francis,2947,7900,37.3,32.3,42.3
5125,Arkansas,Saline,16793,28295,59.3,55.9,62.8
5127,Arkansas,Scott,988,2566,38.5,26.5,50.5
5129,Arkansas,Searcy,782,1685,46.4,32.2,60.6
5131,Arkansas,Sebastian,17208,32649,52.7,49.5,55.9
5133,Arkansas,Sevier,1633,4426,36.9,29.4,44.4
5135,Arkansas,Sharp,1778,3487,51,42.7,59.3
5137,Arkansas,Stone,1121,2285,49.1,33.3,64.8
5139,Arkansas,Union,5473,10111,54.1,49.1,59.2
5141,Arkansas,Van Buren,1596,3500,45.6,36.6,54.6
5143,Arkansas,Washington,32737,58031,56.4,53.9,58.9
5145,Arkansas,White,10104,19271,52.4,47.8,57
5147,Arkansas,Woodruff,523,1600,32.7,18.2,47.2
5149,Arkansas,Yell,1976,5436,36.4,28.7,44
6001,California,Alameda,315831,456099,69.2,,
6003,California,Alpine,168,229,73.4,23,100
6005,California,Amador,4265,8008,53.3,46.5,60
6007,California,Butte,32122,48960,65.6,62.9,68.3
6009,California,Calaveras,5305,8274,64.1,56.9,71.3
6011,California,Colusa,2408,5476,44,37.3,50.7
6013,California,Contra Costa,188242,277835,67.8,66.5,69
6015,California,Del Norte,3471,7556,45.9,39.9,52
6017,California,El Dorado,26976,39995,67.4,64.2,70.7
6019,California,Fresno,122582,246230,49.8,48.6,50.9
6021,California,Glenn,3148,6807,46.2,39.3,53.2
6023,California,Humboldt,22071,34044,64.8,61.5,68.2
6025,California,Imperial,22971,46362,49.5,47,52.1
6027,California,Inyo,2220,4019,55.2,47.9,62.6
6029,California,Kern,99019,229516,43.1,42.1,44.2
6031,California,Kings,22355,47824,46.7,44.2,49.3
6033,California,Lake,7306,13971,52.3,47.2,57.4
6035,California,Lassen,5392,12064,44.7,40,49.4
6037,California,Los Angeles,1678903,2929277,57.3,,
6039,California,Madera,15859,39382,40.3,37.7,42.9
6041,California,Marin,45061,61669,73.1,70.5,75.6
6043,California,Mariposa,2349,3758,62.5,51.4,73.7
6045,California,Mendocino,10779,20569,52.4,48.1,56.7
6047,California,Merced,28456,67042,42.4,40.4,44.5
6049,California,Modoc,1119,1912,58.5,46.9,70.2
6051,California,Mono,2346,4247,55.2,43.4,67.1
6053,California,Monterey,51964,116542,44.6,43,46.2
6055,California,Napa,19287,34340,56.2,53.1,59.3
6057,California,Nevada,14400,19990,72,67,77.1
6059,California,Orange,554547,859202,64.5,,
6061,California,Placer,65135,85307,76.4,73.8,78.9
6063,California,Plumas,2287,3928,58.2,49.4,67.1
6065,California,Riverside,294536,573678,51.3,,
6067,California,Sacramento,257669,399173,64.6,,
6069,California,San Benito,7361,14688,50.1,45.3,54.9
6071,California,San Bernardino,285323,557706,51.2,,
6073,California,San Diego,598509,888577,67.4,,
6075,California,San Francisco,248170,301632,82.3,80.9,83.6
6077,California,San Joaquin,90112,182038,49.5,48.1,50.9
6079,California,San Luis Obispo,38736,60554,64,61.4,66.5
6081,California,San Mateo,150849,207453,72.7,71.4,74.1
6083,California,Santa Barbara,61853,105998,58.4,56.5,60.2
6085,California,Santa Clara,400515,548920,73,,
6087,California,Santa Cruz,42010,65555,64.1,61.8,66.4
6089,California,Shasta,24795,39990,62,58.9,65.1
6091,California,Sierra,295,498,59.2,10.6,100
6093,California,Siskiyou,5329,8797,60.6,55,66.1
6095,California,Solano,68473,110345,62.1,60.2,63.9
6097,California,Sonoma,73041,121397,60.2,58.4,61.9
6099,California,Stanislaus,66399,137692,48.2,46.7,49.7
6101,California,Sutter,13476,25027,53.8,50.3,57.3
6103,California,Tehama,7203,14579,49.4,45.6,53.3
6105,California,Trinity,1655,2724,60.8,47.9,73.6
6107,California,Tulare,50530,115678,43.7,42,45.3
6109,California,Tuolumne,6255,12067,51.8,46.9,56.8
6111,California,Ventura,130790,216438,60.4,59.1,61.7
6113,California,Yolo,34574,51143,67.6,64.9,70.3
6115,California,Yuba,9986,19489,51.2,47.6,54.9
8001,Colorado,Adams,73658,135897,54.2,52.6,55.8
8003,Colorado,Alamosa,1888,3612,52.3,42.4,62.2
8005,Colorado,Arapahoe,112938,164983,68.5,67,69.9
8007,Colorado,Archuleta,1076,2208,48.7,37.3,60.2
8009,Colorado,Baca,521,769,67.8,49.9,85.6
8011,Colorado,Bent,640,2046,31.3,21.8,40.7
8013,Colorado,Boulder,65416,80281,81.5,79.3,83.6
9001,Connecticut,Fairfield,164581,238749,68.9,,
9003,Connecticut,Hartford,151795,229960,66,64.8,67.2
9005,Connecticut,Litchfield,28624,44106,64.9,62.2,67.6
9007,Connecticut,Middlesex,29445,40844,72.1,68.9,75.3
9009,Connecticut,New Haven,144259,224060,64.4,63,65.7
9011,Connecticut,New London,42949,69723,61.6,59.3,63.9
9013,Connecticut,Tolland,25408,35668,71.2,67.9,74.6
9015,Connecticut,Windham,16089,30429,52.9,49.6,56.2
10001,Delaware,Kent,23844,40652,58.7,55.6,61.7
10003,Delaware,New Castle,93599,145886,64.2,62.6,65.8
10005,Delaware,Sussex,20530,42719,48.1,45.5,50.6
11001,District of Columbia,District of Columbia,153002,200878,76.2,74.7,77.6
12001,Florida,Alachua,46109,61313,75.2,72.4,78.1
12003,Florida,Baker,2248,7259,31,25,36.9
12005,Florida,Bay,25832,43983,58.7,55.6,61.9
12007,Florida,Bradford,2989,8440,35.4,30,40.9
12009,Florida,Brevard,76664,119169,64.3,62.4,66.3
12011,Florida,Broward,313717,481438,65.2,64.1,66.2
12013,Florida,Calhoun,1256,3979,31.6,24.2,38.9
12015,Florida,Charlotte,14130,25695,55,51.2,58.8
12017,Florida,Citrus,10542,23331,45.2,41.4,48.9
12019,Florida,Clay,30578,49510,61.8,58.8,64.7
12021,Florida,Collier,33089,69043,47.9,45.2,50.6
12023,Florida,Columbia,7482,16265,46,41.1,50.9
12027,Florida,DeSoto,2311,8672,26.6,21.3,32
12029,Florida,Dixie,1369,3510,39,,
