Fiscal Year,Country,Guarantee Date,Max Cumulative Disbursements,Cumulative Utilization,Cumulative Utilization Percentage
2008,Haiti,9/30/08,"$2,000,000.00 ","$1,999,808.91 ",99.99%
2008,Ghana,9/30/08,"$5,000,000.00 ","$1,960,272.39 ",39.21%
2008,Burundi,9/18/08,"$3,000,000.00 ","$1,812,742.29 ",60.42%
2008,Ethiopia,9/26/08,"$6,420,000.00 ","$1,754,132.14 ",27.32%
2008,Paraguay,9/30/08,"$1,600,000.00 ","$1,596,338.76 ",99.77%
2008,Albania,9/29/08,"$1,540,292.00 ","$1,540,292.42 ",100%
2008,Ethiopia,9/26/08,"$4,280,000.00 ","$1,435,409.41 ",33.54%
2008,Democratic Republic of the Congo,9/26/08,"$5,000,000.00 ","$1,134,482.04 ",22.69%
2008,Kenya,9/18/08,"$1,012,270.00 ","$1,012,269.59 ",100%
2008,Paraguay,9/30/08,"$3,500,000.00 ","$625,277.51 ",17.87%
2008,El Salvador,9/22/08,"$1,000,000.00 ","$613,390.00 ",61.34%
2008,Jamaica,9/17/08,"$3,300,000.00 ","$585,129.17 ",17.73%
2008,Zambia,9/26/08,"$5,000,000.00 ","$459,319.66 ",9.19%
2008,Angola,9/26/08,"$6,450,000.00 ","$259,404.75 ",4.02%
2008,Albania,9/29/08,"$157,074.00 ","$157,074.28 ",100%
2008,El Salvador,9/22/08,"$1,000,000.00 ","$77,870.00 ",7.79%
2008,Kyrgyzstan,9/30/08,"$500,000.00 ","$75,366.22 ",15.07%
2008,Kyrgyzstan,9/25/08,"$1,000,000.00 ","$44,593.72 ",4.46%
2008,El Salvador,9/22/08,"$2,800,000.00 ",$0.00 ,0%
2009,Worldwide,9/30/09,"$2,000,000.00 ","$1,960,288.80 ",98.01%
2009,Macedonia,9/18/09,"$3,000,000.00 ","$1,685,107.58 ",56.17%
2009,Malawi,12/4/08,"$2,000,000.00 ","$1,579,643.41 ",78.98%
2009,Worldwide,9/30/09,"$1,537,335.00 ","$1,508,620.68 ",98.13%
2009,Worldwide,9/30/09,"$1,200,000.00 ","$1,158,301.15 ",96.53%
2009,Haiti,9/30/09,"$1,125,000.00 ","$1,113,505.37 ",98.98%
2009,Macedonia,9/18/09,"$2,000,000.00 ","$1,052,933.46 ",52.65%
2009,Worldwide,9/30/09,"$1,000,000.00 ","$1,030,888.03 ",100%
2009,Worldwide,9/30/09,"$1,000,000.00 ","$980,144.40 ",98.01%
2009,Haiti,9/30/09,"$1,225,000.00 ","$925,068.96 ",75.52%
2009,Georgia,9/15/09,"$700,000.00 ","$700,000.00 ",100%
2009,Worldwide,9/30/09,"$1,780,000.00 ","$687,258.68 ",38.61%
2009,Haiti,9/30/09,"$325,000.00 ","$324,464.34 ",99.84%
2009,Georgia,9/15/09,"$300,000.00 ","$300,000.00 ",100%
2009,Haiti,9/30/09,"$275,000.00 ","$274,074.44 ",99.66%
2009,Haiti,9/30/09,"$800,000.00 ","$115,049.65 ",14.38%
2009,Liberia,9/30/09,"$4,240,000.00 ","$65,000.00 ",1.53%
2009,Bosnia and Herzegovina,9/30/09,"$7,285,658.00 ","$14,521.76 ",0.20%
2009,Haiti,9/30/09,"$175,000.00 ","$3,298.92 ",1.89%
2009,Egypt,9/30/09,"$10,000,000.00 ",$0.00 ,0%
2009,Uganda,6/30/09,"$5,000,000.00 ",$0.00 ,0%
2009,Haiti,9/30/09,"$1,150,000.00 ",$0.00 ,0%
2009,Haiti,9/30/09,"$633,750.00 ",$0.00 ,0%
2009,Haiti,9/30/09,"$633,750.00 ",$0.00 ,0%
2009,Haiti,9/30/09,"$422,500.00 ",$0.00 ,0%
2009,Haiti,9/30/09,"$312,500.00 ",$0.00 ,0%
2009,Haiti,9/30/09,"$211,250.00 ",$0.00 ,0%
2009,Haiti,9/30/09,"$211,250.00 ",$0.00 ,0%
2009,Georgia,9/15/09,$0.00 ,$0.00 ,0%
2009,Egypt,9/30/09,$0.00 ,$0.00 ,0%
2009,Haiti,9/30/09,$0.00 ,$0.00 ,0%
2010,Indonesia,9/24/10,"$1,700,000.00 ","$1,652,892.56 ",97.23%
2010,Azerbaijan,9/30/10,"$1,650,000.00 ","$1,648,350.00 ",99.90%
2010,Azerbaijan,9/30/10,"$1,650,000.00 ","$1,637,500.00 ",99.24%
2010,Indonesia,9/24/10,"$1,612,900.00 ","$1,587,301.58 ",98.41%
2010,Indonesia,9/24/10,"$1,150,000.00 ","$1,101,928.37 ",95.82%
2010,Georgia,9/27/10,"$9,000,000.00 ","$996,414.19 ",11.07%
2010,Dominican Republic,7/7/10,"$1,690,000.00 ","$620,454.02 ",36.71%
2010,Dominican Republic,7/7/10,"$1,690,000.00 ","$427,042.38 ",25.27%
2010,Indonesia,9/24/10,"$3,537,100.00 ",$0.00 ,0%
